City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Kapaa,US,78.78,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
8,Katsuura,JP,70.66,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
11,Hilo,US,75.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
12,Road Town,VG,78.89,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
20,Samarai,PG,80.71,overcast clouds,-10.6167,150.6667,Nuli Sapi
21,Rikitea,PF,76.86,few clouds,-23.1203,-134.9692,People ThankYou
23,Atuona,PF,78.39,scattered clouds,-9.8,-139.0333,Villa Enata
24,Pemangkat,ID,86.18,broken clouds,1.1667,108.9667,Ramah Kost KITA
26,Port Hedland,AU,82.45,broken clouds,-20.3167,118.5667,The Esplanade Hotel
37,Puerto Escondido,MX,80.87,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
40,Mao,ES,70.36,clear sky,39.8885,4.2658,ARTIEM Capri
46,Fukue,JP,75.56,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
49,Tay Ninh,VN,87.58,overcast clouds,11.3,106.1,Thanh Tuyền Hotel
50,Dakar,SN,76.08,overcast clouds,14.6937,-17.4441,Novotel Dakar
51,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
52,Cayenne,GF,81.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
54,Victoria,HK,89.96,broken clouds,22.2855,114.1577,Mini Central
56,Wajir,KE,80.56,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
58,Wajima,JP,75.88,few clouds,37.4,136.9,Wajiima Onsen Yashio
65,Helong,CN,81.61,overcast clouds,42.5397,128.9972,Helong Hotel
69,Vao,NC,74.25,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
73,Butaritari,KI,81.25,light rain,3.0707,172.7902,Isles Sunset Lodge
74,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
81,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
83,Byron Bay,AU,71.71,clear sky,-28.65,153.6167,Backpackers Inn
94,Pecos,US,85.3,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos Northeast
95,Cedar City,US,72.57,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
96,Bahia Honda,CU,76.51,overcast clouds,22.9036,-83.1592,Casa Gualberto - Deysi
98,Bilma,NE,87.55,clear sky,18.6853,12.9164,Expeditions Ténére voyages
100,Port-Gentil,GA,73.36,few clouds,-0.7193,8.7815,Fengshui Residence
102,Geraldton,AU,75.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
104,Villa Bruzual,VE,70.65,overcast clouds,9.3328,-69.1208,hotel italia
106,Kawalu,ID,88.84,scattered clouds,-7.3817,108.2082,West Jontor
112,Wichita Falls,US,74.25,clear sky,33.9137,-98.4934,Quality Inn & Suites Wichita Falls I-44
115,Korla,CN,86.67,scattered clouds,41.7597,86.1469,Gulisitan Hotel
116,San Patricio,US,80.49,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
120,Avarua,CK,75.25,light rain,-21.2078,-159.775,Paradise Inn
123,Hami,CN,89.2,broken clouds,42.8,93.45,Laoyutang Resort
124,Bambous Virieux,MU,79.21,light rain,-20.3428,57.7575,Casa Tia Villa
130,Sakakah,SA,83.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
133,Namatanai,PG,83.3,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
136,Amatan,MX,70.52,overcast clouds,17.35,-92.75,Las gardenias
143,Faanui,PF,81.18,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
148,Porto Novo,BJ,78.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
149,Hithadhoo,MV,83.93,broken clouds,-0.6,73.0833,Scoop Guest House
150,Bubaque,GW,78.98,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
153,Sinnamary,GF,76.95,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
157,Kavaratti,IN,82.8,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
158,Faya,SA,75.31,clear sky,18.3851,42.4509,املاك خالد الشعشوع
159,Kirakira,SB,81.21,scattered clouds,-10.4544,161.9205,SanBiz Lodge
160,Omboue,GA,72.36,scattered clouds,-1.5746,9.2618,Hotel Olako
161,Sibolga,ID,84.49,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
163,Gornyak,RU,83.17,scattered clouds,50.9942,81.4661,"Комфорт ""Danilo"""
164,Dingle,PH,87.44,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
168,Boueni,YT,82.38,few clouds,-12.9025,45.0761,The feet in water
170,Saint George,US,84.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
172,Balkanabat,TM,79.7,clear sky,39.5108,54.3671,Nebitchi Hotel
180,Ginda,IN,82.99,clear sky,30.6945,78.4932,Sunil Bisht
183,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
186,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
188,Tura,IN,87.3,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
189,Narimanov,RU,73.31,clear sky,46.6927,47.8498,Solnechnyi
190,Port Blair,IN,86.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
196,Carutapera,BR,73.18,broken clouds,-1.195,-46.02,Lidera
198,Clearwater,US,78.98,scattered clouds,27.9659,-82.8001,Residence Inn by Marriott Clearwater Downtown
201,Nong Chik,TH,89.44,overcast clouds,6.8436,101.178,Bakkahland Farm and Resort
210,Naco,MX,75.29,clear sky,31.3347,-109.9483,Motel Colonial
216,Ray,IN,86.77,scattered clouds,23.6833,85.05,Bablu Cake Corner
