City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Aksarka,RU,66.5606,67.7975,66.15,28,61,18.32,broken clouds
1,Roald,NO,62.5833,6.1333,49.75,81,75,10.36,broken clouds
2,Ushuaia,AR,-54.8,-68.3,33.46,93,100,27.63,overcast clouds
3,Hobart,AU,-42.8794,147.3294,58.86,66,40,9.22,scattered clouds
4,Ponta Do Sol,PT,32.6667,-17.1,66.83,68,57,3.87,broken clouds
5,Busselton,AU,-33.65,115.3333,63.46,61,20,18.39,few clouds
6,Kapaa,US,22.0752,-159.319,78.78,80,20,10.36,few clouds
7,Laurel,US,39.0993,-76.8483,65.66,96,75,4.61,broken clouds
8,Katsuura,JP,35.1333,140.3,70.66,71,39,9.24,scattered clouds
9,Puerto Ayora,EC,-0.7393,-90.3518,69.55,98,93,7.0,overcast clouds
10,Tasiilaq,GL,65.6145,-37.6368,41.16,77,100,13.02,overcast clouds
11,Hilo,US,19.7297,-155.09,75.27,87,100,6.91,overcast clouds
12,Road Town,VG,18.4167,-64.6167,78.89,79,100,17.76,overcast clouds
13,New Norfolk,AU,-42.7826,147.0587,58.5,78,83,1.01,broken clouds
14,Jamestown,US,42.097,-79.2353,60.39,94,100,3.44,mist
15,Gueret,FR,46.1667,1.8667,49.71,89,94,4.59,overcast clouds
16,San Quintin,MX,30.4833,-115.95,59.45,87,12,10.58,few clouds
17,Vestmannaeyjar,IS,63.4427,-20.2734,48.24,83,54,16.6,broken clouds
18,Punta Arenas,CL,-53.15,-70.9167,37.51,65,0,18.41,clear sky
19,Bonavista,CA,48.6499,-53.1147,40.73,83,100,6.33,overcast clouds
20,Samarai,PG,-10.6167,150.6667,80.71,65,86,11.86,overcast clouds
21,Rikitea,PF,-23.1203,-134.9692,76.86,73,11,11.41,few clouds
22,Camana,PE,-16.6228,-72.7111,62.13,82,40,5.73,scattered clouds
23,Atuona,PF,-9.8,-139.0333,78.39,72,34,17.85,scattered clouds
24,Pemangkat,ID,1.1667,108.9667,86.18,67,76,11.27,broken clouds
25,Lebu,CL,-37.6167,-73.65,42.21,80,6,12.88,clear sky
26,Port Hedland,AU,-20.3167,118.5667,82.45,57,82,10.36,broken clouds
27,Kodiak,US,57.79,-152.4072,69.31,32,0,6.91,clear sky
28,Barrow,US,71.2906,-156.7887,33.82,93,100,9.22,overcast clouds
29,Mount Gambier,AU,-37.8333,140.7667,53.51,89,80,4.74,light rain
30,Bluff,NZ,-46.6,168.3333,52.81,79,97,6.98,overcast clouds
31,Santa Cruz Del Sur,CU,20.7147,-77.9956,76.01,84,100,6.08,overcast clouds
32,Kaitangata,NZ,-46.2817,169.8464,46.65,86,54,4.56,broken clouds
33,Carnarvon,AU,-24.8667,113.6333,67.95,79,100,12.08,overcast clouds
34,Laguna,US,38.421,-121.4238,66.18,74,0,10.36,clear sky
35,Albany,US,42.6001,-73.9662,67.17,86,100,4.5,overcast clouds
36,Airai,TL,-8.9266,125.4092,72.97,55,29,3.09,scattered clouds
37,Puerto Escondido,MX,15.85,-97.0667,80.87,82,100,10.29,overcast clouds
38,Port Elizabeth,ZA,-33.918,25.5701,46.69,100,0,2.3,clear sky
39,Nador,MA,35.174,-2.9287,66.45,77,0,1.14,clear sky
40,Mao,ES,39.8885,4.2658,70.36,64,0,20.71,clear sky
41,Khatanga,RU,71.9667,102.5,39.24,60,100,4.83,overcast clouds
42,Ribeira Grande,PT,38.5167,-28.7,61.34,77,100,20.74,overcast clouds
43,Bredasdorp,ZA,-34.5322,20.0403,53.78,84,59,4.9,broken clouds
44,Seabra,BR,-12.4186,-41.7703,55.92,96,1,3.67,clear sky
45,Chuy,UY,-33.6971,-53.4616,49.69,85,43,6.02,scattered clouds
