City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jamestown,US,2022-05-22 04:35:32,42.097,-79.2353,64.04,93,40,5.01
1,Aquiraz,BR,2022-05-22 04:34:21,-3.9014,-38.3911,76.17,88,16,7.16
2,Khatanga,RU,2022-05-22 04:35:32,71.9667,102.5,36.21,86,100,8.14
3,Buchanan,LR,2022-05-22 04:32:52,5.8808,-10.0467,74.86,91,100,5.91
4,Samarai,PG,2022-05-22 04:35:33,-10.6167,150.6667,82.96,75,81,8.99
5,Ilulissat,GL,2022-05-22 04:35:33,69.2167,-51.1,39.22,65,100,4.61
6,Ushuaia,AR,2022-05-22 04:35:34,-54.8,-68.3,37.06,81,0,3.44
7,Bosaso,SO,2022-05-22 04:35:34,11.2842,49.1816,87.78,70,0,11.5
8,Hailun,CN,2022-05-22 04:35:34,47.45,126.9333,74.82,23,49,1.7
9,Mahibadhoo,MV,2022-05-22 04:35:35,3.7833,72.9667,83.43,76,93,13.69
10,Carnarvon,AU,2022-05-22 04:34:23,-24.8667,113.6333,76.28,60,13,22.35
11,Hamilton,US,2022-05-22 04:32:07,39.1834,-84.5333,67.06,96,75,8.05
12,Hofn,IS,2022-05-22 04:35:36,64.2539,-15.2082,46.36,87,100,15.93
13,Castro,BR,2022-05-22 04:35:36,-24.7911,-50.0119,43.21,82,1,2.86
14,Albany,US,2022-05-22 04:32:14,42.6001,-73.9662,77.41,85,61,2.26
15,Tazovskiy,RU,2022-05-22 04:35:37,67.4667,78.7,35.13,92,100,5.57
16,Beloha,MG,2022-05-22 04:34:07,-25.1667,45.05,70.3,45,0,3.18
17,Cozumel,MX,2022-05-22 04:35:37,20.5083,-86.9458,82.94,81,66,11.01
18,Hilo,US,2022-05-22 04:33:57,19.7297,-155.09,85.28,77,100,4.61
19,Norden,DE,2022-05-22 04:35:38,53.6,7.2,51.96,88,99,6.69
20,Coquimbo,CL,2022-05-22 04:35:38,-29.9533,-71.3436,55.13,100,100,3.44
21,Fortuna,US,2022-05-22 04:35:39,40.5982,-124.1573,51.93,88,100,10.36
22,Penzance,GB,2022-05-22 04:35:39,50.1186,-5.5371,52.48,85,41,7.09
23,Bambous Virieux,MU,2022-05-22 04:35:19,-20.3428,57.7575,73.65,78,40,5.75
24,Barrow,US,2022-05-22 04:35:40,71.2906,-156.7887,23.02,86,100,12.66
25,Otradnoye,RU,2022-05-22 04:35:40,59.7775,30.8181,47.03,51,0,6.53
26,Saskylakh,RU,2022-05-22 04:34:34,71.9167,114.0833,34.81,100,100,3.31
27,Avera,US,2022-05-22 04:35:41,33.194,-82.5271,75.25,92,100,9.64
28,Mareeba,AU,2022-05-22 04:35:42,-17.0,145.4333,81.66,73,57,3.87
29,Klaksvik,FO,2022-05-22 04:35:42,62.2266,-6.589,47.32,88,100,12.77
30,Ariquemes,BR,2022-05-22 04:35:21,-9.9133,-63.0408,66.92,86,0,0.38
31,Mandalgovi,MN,2022-05-22 04:32:55,45.7625,106.2708,69.93,19,92,19.04
32,Nikolskoye,RU,2022-05-22 04:35:30,59.7035,30.7861,46.87,50,0,6.46
33,Hermanus,ZA,2022-05-22 04:35:43,-34.4187,19.2345,55.98,78,26,6.53
34,Victoria,HK,2022-05-22 04:35:43,22.2855,114.1577,82.96,82,97,11.99
35,Moskovskiy,RU,2022-05-22 04:35:44,55.5991,37.355,44.69,51,0,15.99
36,Rikitea,PF,2022-05-22 04:34:46,-23.1203,-134.9692,75.56,77,5,13.33
37,Luderitz,NA,2022-05-22 04:35:44,-26.6481,15.1594,55.51,59,4,5.64
38,Lebu,CL,2022-05-22 04:35:45,-37.6167,-73.65,52.79,89,97,15.01
39,Mataura,NZ,2022-05-22 04:35:45,-46.1927,168.8643,42.35,82,68,8.08
40,Oranjemund,NA,2022-05-22 04:35:46,-28.55,16.4333,51.17,80,7,5.26
41,Port Alfred,ZA,2022-05-22 04:35:46,-33.5906,26.891,57.06,80,2,5.77
42,Katsuura,JP,2022-05-22 04:35:24,35.1333,140.3,67.3,71,89,12.12
43,Lorengau,PG,2022-05-22 04:32:36,-2.0226,147.2712,86.07,65,95,10.18
44,Owando,CG,2022-05-22 04:35:47,-0.4819,15.8999,70.34,97,82,2.77
45,Kodiak,US,2022-05-22 04:35:47,57.79,-152.4072,45.91,93,100,18.41
46,Bredasdorp,ZA,2022-05-22 04:35:48,-34.5322,20.0403,51.35,84,36,6.26
47,Tura,IN,2022-05-22 04:36:48,25.5198,90.2201,85.57,62,13,4.65
48,Bud,US,2022-05-22 04:36:49,39.447,-86.1758,68.02,97,94,6.6
49,Cam Ranh,VN,2022-05-22 04:36:49,11.9214,109.1591,87.76,66,20,5.75
50,Punta Arenas,CL,2022-05-22 04:34:14,-53.15,-70.9167,37.51,75,75,3.44
51,Mount Isa,AU,2022-05-22 04:36:50,-20.7333,139.5,78.57,38,40,5.75
52,Husavik,IS,2022-05-22 04:36:50,66.0449,-17.3389,39.0,98,100,11.03
53,Bengkulu,ID,2022-05-22 04:36:51,-3.8004,102.2655,84.61,65,56,6.44
54,Tasiilaq,GL,2022-05-22 04:36:51,65.6145,-37.6368,32.16,71,51,4.05
55,Cherskiy,RU,2022-05-22 04:33:12,68.75,161.3,59.52,35,33,14.65
56,Winsum,NL,2022-05-22 04:36:52,53.33,6.5208,50.99,92,92,5.39
57,Busselton,AU,2022-05-22 04:32:50,-33.65,115.3333,68.23,72,53,24.67
58,Vila Velha,BR,2022-05-22 04:31:31,-20.3297,-40.2925,62.55,94,0,4.61
59,Srednekolymsk,RU,2022-05-22 04:33:10,67.45,153.6833,55.33,48,100,10.42
60,Bandar-E Lengeh,IR,2022-05-22 04:36:53,26.5579,54.8807,87.91,74,0,6.91
61,East London,ZA,2022-05-22 04:36:53,-33.0153,27.9116,50.94,87,0,3.44
62,Nouakchott,MR,2022-05-22 04:36:54,18.0858,-15.9785,66.13,90,48,16.37
63,Lumberton,US,2022-05-22 04:36:54,34.6182,-79.0086,75.2,94,100,6.69
64,Yumen,CN,2022-05-22 04:34:47,40.2833,97.2,82.42,11,0,24.25
65,Airai,TL,2022-05-22 04:36:55,-8.9266,125.4092,72.63,55,38,4.45
66,Arraial Do Cabo,BR,2022-05-22 04:33:51,-22.9661,-42.0278,68.47,74,11,6.06
67,Helena,US,2022-05-22 04:32:17,46.5927,-112.0361,41.99,63,0,3.44
68,Berlevag,NO,2022-05-22 04:36:55,70.8578,29.0864,40.95,87,100,0.0
69,Port Hardy,CA,2022-05-22 04:36:42,50.6996,-127.4199,50.18,87,20,4.61
70,Vaitape,PF,2022-05-22 04:36:56,-16.5167,-151.75,80.82,72,9,11.36
71,Conceicao Do Araguaia,BR,2022-05-22 04:36:57,-8.2578,-49.2647,69.08,68,23,3.2
72,Itarema,BR,2022-05-22 04:35:09,-2.9248,-39.9167,74.17,91,22,7.63
73,Muros,ES,2022-05-22 04:33:39,42.7762,-9.0603,64.09,92,90,0.81
74,Chuy,UY,2022-05-22 04:36:57,-33.6971,-53.4616,49.86,91,95,5.55
75,Cockburn Town,TC,2022-05-22 04:36:58,21.4612,-71.1419,79.38,82,100,19.1
76,Touros,BR,2022-05-22 04:34:14,-5.1989,-35.4608,74.68,90,21,10.83
77,Hobart,AU,2022-05-22 04:35:21,-42.8794,147.3294,56.26,73,75,10.36
78,Ostrovnoy,RU,2022-05-22 04:36:59,68.0531,39.5131,32.13,67,66,10.22
79,Turukhansk,RU,2022-05-22 04:33:21,65.8167,87.9833,60.39,55,33,3.76
80,Butaritari,KI,2022-05-22 04:32:18,3.0707,172.7902,81.72,78,85,11.63
81,Cayenne,GF,2022-05-22 04:37:00,4.9333,-52.3333,76.08,1,0,0.0
82,Limbang,MY,2022-05-22 04:37:00,4.75,115.0,91.51,48,96,2.37
83,Nanortalik,GL,2022-05-22 04:37:00,60.1432,-45.2371,39.33,85,100,9.42
84,Teahupoo,PF,2022-05-22 04:37:01,-17.8333,-149.2667,75.16,73,28,11.12
85,Okhotsk,RU,2022-05-22 04:37:01,59.3833,143.3,34.05,97,100,9.06
86,Kamloops,CA,2022-05-22 04:33:05,50.6665,-120.3192,56.39,61,20,3.0
87,Dicabisagan,PH,2022-05-22 04:34:08,17.0818,122.4157,85.39,71,95,3.94
88,Batemans Bay,AU,2022-05-22 04:37:02,-35.7167,150.1833,60.1,67,100,7.29
89,Gornopravdinsk,RU,2022-05-22 04:37:03,60.05,69.9,62.85,58,97,11.99
90,Komsomolskiy,UZ,2022-05-22 04:37:03,40.4272,71.7189,61.52,59,75,25.32
91,Khandbari,NP,2022-05-22 04:37:04,27.3747,87.2039,81.97,48,54,4.47
92,Codrington,AU,2022-05-22 04:30:57,-38.2667,141.9667,58.8,62,5,8.66
93,Rumuruti,KE,2022-05-22 04:37:05,0.267,36.5389,62.92,70,100,5.03
94,Hami,CN,2022-05-22 04:33:19,42.8,93.45,89.28,12,23,3.96
